#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-6-15_11:39:9
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
16;200;488.697250;-39;70;24500;196.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
17;200;488.697250;-39;70;25375;203.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
18;200;488.697250;-39;70;25100;200.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
19;200;488.697250;-39;70;24975;199.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
20;200;488.697250;-39;70;25225;201.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
21;200;488.697250;-39;70;24475;195.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
22;200;488.697250;-39;70;25850;206.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
23;200;488.697250;-42;68;24750;198.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
24;200;488.697250;-42;68;25050;200.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
25;200;488.697250;-42;68;24900;199.200000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
26;200;488.697250;-42;68;25148;201.184000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
27;200;488.697250;-40;70;25277;202.216000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
28;200;488.697250;-40;70;25025;200.200000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
29;200;488.697250;-42;68;25100;200.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
30;200;488.697250;-42;68;24700;197.600000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
31;200;500.433000;-42;68;25305;202.440000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
32;200;514.602250;-42;68;25095;200.760000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
33;200;529.556500;-42;68;25200;201.600000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
34;200;529.438750;-42;68;24725;197.800000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
35;200;541.410000;-42;68;25300;202.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
